Температура С,Эффективность %,Соленность г/л,Месторождение,соотношение
4.841792041481715, 71.8878893820953, 35, "Хохряковское", "1:10"
9.901205955140039, 74.30137093923086, 35, "Хохряковское", "1:10"
14.963860627725182, 75.75558785402836, 35, "Хохряковское", "1:10"
19.872431944062537, 77.81847821817182, 35, "Хохряковское", "1:10"
24.882350630474917, 79.88254704010684, 35, "Хохряковское", "1:10"
0.383686215972034, 71.48721373296146, 35, "Усинское", "1:10"
4.885100365321917, 74.06862552539576, 35, "Усинское", "1:10"
9.894724437286406, 76.21990022390698, 35, "Усинское", "1:10"
15.005401264878031, 78.45955925678595, 35, "Усинское", "1:10"
20.01414149349884, 80.87245158502573, 35, "Усинское", "1:10"
4.853871233845308, 68.31244844247162, 35, "Правдинское", "1:10"
10.013748674234986, 70.9887260871273, 35, "Правдинское", "1:10"
15.07316258789331, 73.40220764426287, 35, "Правдинское", "1:10"
19.980850060886986, 75.72671563813489, 35, "Правдинское", "1:10"
24.887359076089087, 78.40004713831166, 35, "Правдинское", "1:10"
5.01620379463409, 65.26201044899243, 35, "Нагорн.(Турней)", "1:10"
9.976921868248418, 66.88946065915073, 35, "Нагорн.(Турней)", "1:10"
15.140629296460698, 68.43206190831599, 35, "Нагорн.(Турней)", "1:10"
20.04949522724594, 70.40774639588325, 35, "Нагорн.(Турней)", "1:10"
25.00874022862081, 72.4712259889225, 35, "Нагорн.(Турней)", "1:10"
4.979966217543308, 60.98833326786345, 35, "Нагорн.(Башкир)", "1:10"
9.83609616215579, 63.573869662568256, 35, "Нагорн.(Башкир)", "1:10"
14.945594531955848, 66.16235220175197, 35, "Нагорн.(Башкир)", "1:10"
19.95345091723298, 68.83686215972031, 35, "Нагорн.(Башкир)", "1:10"
24.810464705189144, 71.16078092469655, 35, "Нагорн.(Башкир)", "1:10"
0.5627585511048334, 71.22994652406416, 35, "Усинское", "1:20"
4.992684895570578, 72.51336898395722, 35, "Усинское", "1:20"
10.035062052265161, 74.03743315508021, 35, "Усинское", "1:20"
19.981586116436286, 76.04278074866309, 35, "Усинское", "1:20"
24.980072646554337, 76.52406417112299, 35, "Усинское", "1:20"
0.7332761578044602, 62.00534759358289, 35, "Хохряковское", "1:20"
4.972000807183937, 64.0909090909091, 35, "Хохряковское", "1:20"
10.060034305317325, 66.09625668449198, 35, "Хохряковское", "1:20"
16.2788820502472, 68.50267379679144, 35, "Хохряковское", "1:20"
25.000504489960655, 70.02673796791444, 35, "Хохряковское", "1:20"
0.7736353546564434, 64.1711229946524, 35, "Правдинское", "1:20"
5.0128644939965685, 66.09625668449198, 35, "Правдинское", "1:20"
9.962163252951267, 67.2192513368984, 35, "Правдинское", "1:20"
15.759005145797602, 68.82352941176471, 35, "Правдинское", "1:20"
20.050953486025634, 68.98395721925134, 35, "Правдинское", "1:20"
1.0183129855715878, 61.36363636363637, 35, "Нагорн.(Турней)", "1:20"
5.07163757441227, 62.406417112299465, 35, "Нагорн.(Турней)", "1:20"
9.972505297144588, 63.93048128342246, 35, "Нагорн.(Турней)", "1:20"
15.013368983957221, 65.93582887700535, 35, "Нагорн.(Турней)", "1:20"
21.98592473009787, 68.66310160427807, 35, "Нагорн.(Турней)", "1:20"
0.5155887397840786, 56.229946524064175, 35, "Нагорн.(Башкир)", "1:20"
